Country Name,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China
Country Code,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN
Indicator Name,"Central government debt, total (% of GDP)",Consumer price index (2010 = 100),"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",GDP (constant 2015 US$),GDP per capita (constant 2015 US$),GDP per capita (current US$),Lending interest rate (%),"Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth total (% of people ages 15-24)","Mortality rate, infant (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)","Mortality rate, under-5 (per 1,000 live births)",Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),"Unemployment, total (% of total labor force) (modeled ILO estimate)"
Indicator Code,GC.DOD.TOTL.GD.ZS,FP.CPI.TOTL,SL.EMP.TOTL.SP.ZS,NY.GDP.MKTP.KD,NY.GDP.PCAP.KD,NY.GDP.PCAP.CD,FR.INR.LEND,SP.DYN.LE00.IN,SE.ADT.LITR.ZS,SE.ADT.1524.LT.ZS,SP.DYN.IMRT.IN,SH.DYN.NMRT,SH.DYN.MORT,SP.MTR.1519.ZS,SL.UEM.TOTL.ZS
2000,,80.97002229,74.316,2.77E+12,2193.896866,959.3604313,5.85,71.881,90.92021179,98.8587265,30,21.3,36.7,,3.26
2001,,81.55229846,73.375,3.00E+12,2359.572385,1053.112314,5.85,72.606,,,27.9,19.9,34.1,,3.8
2002,,80.95535936,72.507,3.28E+12,2557.891612,1148.514257,5.31,72.985,,,25.7,18.4,31.5,,4.24
2003,,81.86821482,71.71,3.60E+12,2797.176659,1288.637491,5.31,73.371,,,23.5,16.9,28.9,,4.58
2004,,84.9993772,71.23,3.97E+12,3061.833173,1508.667916,5.58,73.748,,,21.4,15.4,26.3,,4.49
2005,,86.50931811,70.652,4.42E+12,3390.716159,1753.414192,5.58,74.111,,,19.5,13.9,24,,4.52
2006,,87.93622961,70.154,4.98E+12,3800.765796,2099.21943,6.12,74.504,,,17.7,12.5,22,,4.43
2007,,92.17191349,69.64,5.69E+12,4319.031398,2693.958732,7.47,74.762,,,16.2,11.3,20.1,,4.35
2008,,97.63333106,68.886,6.24E+12,4711.643449,3468.327063,5.31,74.872,,,14.8,10.2,18.5,,4.59
2009,,96.92239907,68.205,6.83E+12,5128.904128,3832.227457,5.31,75.343,,,13.6,9.2,17.1,,4.72
2010,,100,67.746,7.55E+12,5647.068727,4550.473944,5.81,75.599,95.1244812,99.64228821,12.5,8.4,15.8,,4.53
2011,,105.5538989,67.636,8.28E+12,6152.696873,5614.386022,6.56,75.903,,,11.5,7.6,14.6,,4.55
2012,,108.318909,67.185,8.93E+12,6591.662494,6300.58218,6,76.192,,,10.6,7,13.5,,4.58
2013,,111.1580018,66.751,9.62E+12,7056.423092,7020.386074,6,76.452,,,9.7,6.4,12.5,,4.6
2014,,113.2940602,66.425,1.03E+13,7532.785301,7636.07434,5.6,76.717,,,8.9,5.8,11.6,,4.63
2015,,114.9221228,66.078,1.11E+13,8016.445595,8016.445595,4.35,76.977,,,8.2,5.3,10.7,,4.65
2016,,117.2205674,65.739,1.18E+13,8516.528742,8094.390167,4.35,77.218,,,7.6,4.9,9.9,,4.56
2017,,119.0880504,65.295,1.26E+13,9053.228725,8817.045608,4.35,77.248,,,7,4.4,9.2,,4.47
2018,,121.5588779,64.887,1.35E+13,9619.209475,9905.406383,4.35,77.744,,,6.4,4.1,8.6,,4.31
2019,,125.0831544,64.307,1.43E+13,10155.51088,10143.86022,4.35,77.968,,,5.9,3.7,8,,4.56
2020,,128.1094436,62.719,1.46E+13,10358.17,10408.71955,4.35,78.077,97.15000153,99.80999756,5.5,3.4,7.4,,5
2021,,129.3662166,64.056,1.59E+13,11223.25535,12617.5051,4.35,78.211,,,5.1,3.2,6.9,,4.55
